Show Number,Air Date,Round,Category,Value,Question,Answer
3835,2001-04-13,Jeopardy!,BROWN,$300,"The SA, Nazi thugs led by Ernst Rohm, were also called storm troopers or these",Brownshirts
2841,1996-12-30,Double Jeopardy!,AMERICAN HISTORY,$200,"15 indentured servants were aboard this ship when it sailed for the new world, Sept. 16, 1620",The Mayflower
1254,1990-02-01,Double Jeopardy!,SCIENCE,$800,"This mineral comes after No. 9, corundum, on the Mohs scale",Diamond
3947,2001-10-30,Jeopardy!,BREAD,$400,"It's the German word for rusk, bread that is baked twice to make it crisp",zwieback
3483,1999-10-27,Double Jeopardy!,MEN OF LETTERS,$800,Edward Morgan...,E.M. Forster
4313,2003-05-07,Double Jeopardy!,EUROPEAN CITIES,$1200,Peter Paul Rubens & Anthony Van Dyck helped make this city the center of the Flemish school of painting,"Antwerp, Belgium"
5714,2009-06-11,Jeopardy!,LET ME TAKE YOU DOWN,$400,"Grolier says this man ""contributed directly to the collapse of the Romanov dynasty shortly after his own death""",Rasputin
4532,2004-04-27,Jeopardy!,WHATCHA GONNA DO?,$600,"Gonna pop in the video & watch ""Piranha II"", the first full-length directorial effort by this ""Titanic"" director",James Cameron
1285,1990-03-16,Jeopardy!,POLITICAL PARTIES,$500,"Formed to oppose Andrew Jackson, this party's 1st program was Clay's ""American System"" favoring high tariffs",Whigs
3196,1998-06-22,Jeopardy!,MUSICALS IN OTHER WORDS,$100,"""Senora Peron""","""Evita"""
4910,2006-01-06,Double Jeopardy!,A WHITE WATER GLOSSARY,$1200,"(<a href=""http://www.j-archive.com/media/2006-01-06_DJ_28.jpg"" target=""_blank"">Jon of the Clue Crew is in the raft this time.</a>)  A river's flow is measured in CFS, short for this; on the Snake, dangerous high water begins around 30,000",cubic feet per second
738,1987-11-18,Double Jeopardy!,ART,$600,"He's the man in ""A Man of Sorrows""'s image",Jesus
3883,2001-06-20,Jeopardy!,"""BEAN""S",$100,A folk tale written down by Joseph Jacobs told of a boy who got a nice aerobic workout climbing this,the beanstalk
6167,2011-06-07,Double Jeopardy!,TOWER,$800,"The White Tower in Greece was once called the ""Bloody Tower"" because this empire executed people there",the Ottoman Empire
4300,2003-04-18,Double Jeopardy!,YESTERDAY'S NEWSPAPERS,$400,"With circulation not so ""stellar"", this 129-year-old Washington D.C. paper folded in 1981",The Washington Star
4388,2003-10-08,Double Jeopardy!,IN THE BOOKSTORE,$2000,"This author of ""High Fidelity"" has a songbook out in which he discusses his favorite tunes",Nick Hornby
3189,1998-06-11,Jeopardy!,ALMOST RHYMES WITH ORANGE,$300,"This adjective meaning ""alien"" might rhyme with orange if you reversed the final ""GN"" & added an E",Foreign
3550,2000-01-28,Jeopardy!,A PERFECT LETTER,$300,4-letter term for the part of a letter highlighted here: (in the middle),Body
3235,1998-10-02,Jeopardy!,FIRESTARTER,$200,"Depicted here in stone, this Greek was a teacher of Aristotle",Plato
5411,2008-03-03,Jeopardy!,COOL CARS,$400,"Mercedes-Benz' ""smart"" cruise control uses this detecting & ranging system to sense vehicles ahead of you",radar
4398,2003-10-22,Jeopardy!,OPERA,$400,"Like many of his works, this composer's ""Tannhauser"" is based on Germanic legends",(Richard) Wagner
4140,2002-09-06,Double Jeopardy!,LITERARY NAME'S THE SAME,$800,"Nathalia wrote ""The Sunken Garden""; Stephen stayed above ground with ""The Red Badge of Courage""",Crane
4123,2002-07-03,Jeopardy!,EMPIRES,$400,The Canary Islands are just about all that's left of this empire that once held much of the Americas,the Spanish Empire
5277,2007-07-17,Jeopardy!,GETTING TESTY,$600,"To join this organization, you have to score in the upper 2% of the general population on an IQ test",Mensa
5379,2008-01-17,Jeopardy!,NICE TO MEET YOU!,$1000,"In 2007 this annual summit of the world's leading industrialized nations met in Heilegendamm, Germany",G8 (the Group of Eight)
2946,1997-05-26,Jeopardy!,RECURRENCES,$300,"1997 names for these including Ana, Bill & Claudette, will be used again in 2003",hurricanes
606,1987-04-06,Jeopardy!,HEROES & VILLAINS,$400,"For his actions in war, Arnold von Winkleried is a hero in this usually neutral country",Switzerland
5065,2006-09-22,Jeopardy!,EUROPEAN CUISINE,$600,"Made with cheese & nuts, paskha is a traditional Russian treat for this spring holiday",Easter
5458,2008-05-07,Jeopardy!,I LIKE TO DECORATE,$400,"My parties on the theme of this traditional feast are historically authentic, with ti leaves & lauhala mats",luau
3621,2000-05-08,Double Jeopardy!,CELEBRITY ANCESTORS,"$1,000","Anna, of ""Anna And The King Of Siam"", was the great aunt of this legendary horror star, on his ""mummy's"" side",Boris Karloff
2850,1997-01-10,Jeopardy!,AMERICAN HISTORY,$500,"In September, 1971, 43 peole were killed during a 4-day riot at this New York prison",Attica
4256,2003-02-17,Jeopardy!,PROFESSIONAL SPORTS,$200,"Except for 1988, he was selected Most Valuable Player of the National Hockey League every year of the 1980s",Wayne Gretzky
4143,2002-09-11,Jeopardy!,MOST-LIVABLE COUNTRIES,$600,"Even with over 70% of this North Sea country's land uninhabitable, it topped the most-livable list",Norway
5185,2007-03-09,Double Jeopardy!,DANCING WITH THE STARS,"$5,200","This zodiac constellation is dominated by 2 stars; however, one is actually a complex system of at least 6 stars",Gemini
6281,2012-01-02,Jeopardy!,ALPHABETICALLY LAST,$1000,Of the countries of the world,Zimbabwe
5424,2008-03-20,Double Jeopardy!,PLAY THE PALACE,$1200,"(<a href=""http://www.j-archive.com/media/2008-03-20_DJ_13.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from the Imperial Palace in Vienna.</a>)  Monarchs don't like being cooped up in the same 150 rooms all year, so the Habsburg was only this seasonal palace, like a famous one in St. Petersburg",winter palace
4778,2005-05-18,Double Jeopardy!,PULITZER-PRIZE WINNING WOMEN,$400,"A reading room at the Lorain Public Library in Ohio is named for this ""Beloved"" prize-winner from 1988",(Toni) Morrison
5571,2008-11-24,Double Jeopardy!,SERIOUS ABOUT CEREAL,$1600,"Wheat has been cracked, flaked, & thanks to Henry Perky in the 1890s, this",shredded
4769,2005-05-05,Double Jeopardy!,BEFORE HE WAS PRESIDENT...,"$2,500",He was Tennessee's first delegate to the U.S. House of Representatives,(Andrew) Jackson
3461,1999-09-27,Jeopardy!,AMERICAN HISTORY,$500,"Completed in 1856, California's first railroad ran 22 miles between Sacramento & this prison city",Folsom
5488,2008-06-18,Double Jeopardy!,GONE VISION,$400,"In a 1978 hit, Foreigner had this malady, AKA diplopia","""Double Vision"""
5917,2010-05-11,Double Jeopardy!,HITCHCOCK MOVIE QUOTES,$800,"""She might have fooled me, but she didn't fool my mother""",Psycho
3007,1997-09-30,Double Jeopardy!,"""C"" IN HISTORY",$400,An alphabetical list of this empress' lovers might end with Zubov -- but we can't be sure,Catherine the Great
5731,2009-07-06,Jeopardy!,4 I's ONLY,$400,Precedes Tavi in the name of a furry Kipling character,Rikki-Tikki
5399,2008-02-14,Double Jeopardy!,A MILITARY CAREER,$400,"In the Air Force, it's the person who flies planes to try them out; there's a school for them at Edwards AFB",a test pilot
5789,2009-11-12,Double Jeopardy!,QUIZ BOWL,$400,"The ""Silver Liberty Bowl"", created by this man born in 1735, is in Boston's Museum of Fine Arts",Paul Revere
6140,2011-04-29,Final Jeopardy!,AMERICAN ARTISTS,None,"In 1909 he completed his last painting, a canvas called ""Driftwood""",Winslow Homer
5683,2009-04-29,Double Jeopardy!,TV OPENING WORDS,$2000,"2003: ""...a wealthy family who lost everything and the one son who had no choice but to keep them all together...""",Arrested Development
5348,2007-12-05,Jeopardy!,BEST MUSICAL ACTOR TONY WINNERS,$200,"""The Producers"" (2001)",Nathan Lane
838,1988-04-06,Double Jeopardy!,PRESIDENTS,$800,"President who was known as the ""Schoolmaster in Politics""",Woodrow Wilson
4093,2002-05-22,Jeopardy!,MONUMENTS,$1000,"This French sculptor called his monument to Balzac ""the sum of my whole life""",Rodin
5638,2009-02-25,Jeopardy!,WITH LOVE,$600,"Yes, my yummy sugar pie, tonight we escape to Nassau, the capital of this country",The Bahamas
4615,2004-10-01,Jeopardy!,ANAGRAMMED WEST WING STARS,$400,"She ""presses"" on: SOLE JAIL NANNY",Allison Janney
4356,2003-07-07,Double Jeopardy!,VATICAN CITY,$400,"Not exactly the B&O, this type of transportation system runs only 950 yards in Vatican City",train/railroad
5615,2009-01-23,Double Jeopardy!,AMERICAN ARTISTS,"$3,800","Jacob Lawrence achieved fame with his ""Toussaint L'ouverture Series"" depicting the slave rebellion here",Haiti
4613,2004-09-29,Jeopardy!,THE 3rd FILM IN THE SERIES,$1000,"Lorraine Axeman, one of our researchers, was an extra in ""Army of Darkness"", Sam Raimi's 3rd film in this Series",The Evil Dead
3353,1999-03-17,Double Jeopardy!,CROATIAN POTPOURRI,$600,A popular dish in Croatia is a veal cutlet concoction named for this capital city,Zagreb
6184,2011-06-30,Double Jeopardy!,I'M BORED!,$1200,"Try writing one of these funny 5-line poems; here, I'll start it for you--""There was a man from Tibet...",a limerick
3745,2000-12-08,Jeopardy!,THE BRITISH INVASION,$500,Hits like “Tuesday Afternoon” from “Days of Future Passed” hooked this band musically into the Summer of Love,The Moody Blues
4776,2005-05-16,Double Jeopardy!,"THANK YOU, DR. PARÉ",$1600,"Paré created trusses for patients troubled by this, doing away with an older treatment, castration",hernia
5236,2007-05-21,Jeopardy!,TERMS OF ENGINEERMENT,$400,"Used extensively by the Romans, it's a bridge built to transport water, not people",an aqueduct
5364,2007-12-27,Jeopardy!,"NO PROMISES, NO DEMANDS",$600,"No promises: Investment cos. often remind us this alliterative phrase ""is no guarantee of future results""",past performance
2820,1996-11-29,Double Jeopardy!,COLLEGES & UNIVERSITIES,$800,"This Durham, N.C. school maintains a primate center which houses endangered species of prosimians",Duke University
6095,2011-02-25,Jeopardy!,U.S. GEOGRAPHY,$600,"This river's delta covers 13,000 square miles, about 1/4 of Louisiana's area",the Mississippi
4240,2003-01-24,Jeopardy!,POP & ROCK GROUPS,$600,"Ray & Dave Davies' boyhood in the Muswell Hill area led to this band's album ""Muswell Hillbillies""",the Kinks
1147,1989-09-05,Jeopardy!,CARS,$300,"The Ranger, Pacer, Corsair & Citation were the 4 models of this Ford failure",Edsel
2251,1994-05-23,Jeopardy!,HINTS FROM HELOISE,$200,"To keep your refrigerator smelling clean, use baking soda or this barbecue fuel",charcoal
4288,2003-04-02,Jeopardy!,POTENT POTABLES,$200,"A Chiquita cocktail combines cointreau, cream & this flavor liqueur",banana
5410,2008-02-29,Jeopardy!,"BELGIUM, BELARUS OR BELIZE",$800,It's landlocked,Belarus
2357,1994-11-29,Final Jeopardy!,PLAYS,None,The title of a Sean O'Casey play refers to these symbols on the flag of the Irish Citizen Army,The Plough and the Stars
4206,2002-12-09,Jeopardy!,A DIRTY CATEGORY,$1000,"This 4-letter term for a sticky, greasy residue was originally the brand name of a degreasing solvent",gunk
5885,2010-03-26,Double Jeopardy!,& ALL WHO SAIL WITH YOU,$1200,A British Columbia city is named for this man who in 1793 surveyed the coast there,Vancouver
3524,1999-12-23,Double Jeopardy!,AMERICAN LIT,$400,"A preacher decides to hide his face forever in ""The Minister's Black Veil"", one of this author's ""Twice-Told Tales""",Nathaniel Hawthorne
4826,2005-09-12,Double Jeopardy!,THIS MOVIE IS A DISASTER!,$2000,"Killer bees from South America threaten the U.S. in this Irwin Allen disaster epic (not ""The Sting"", that's different)",The Swarm
3137,1998-03-31,Double Jeopardy!,ODD WEIGHTS & MEASURES,$400,"A unit of cloth measure equal to 2 1/4 inches, or a carpenter's item whose size is measured in pennies",a nail
6248,2011-11-16,Double Jeopardy!,BROADWAY MUSICAL STARS,$2000,"A longtime talk show host & short-time ""The View"" co-host, she once played Golde in ""Fiddler on the Roof""",Rosie O'Donnell
3913,2001-09-12,Double Jeopardy!,MIND YOUR BUSINESS,$200,"This soup-er company began as a canning & preserves business in Camden, New Jersey in 1869",Campbell's
3535,2000-01-07,Double Jeopardy!,GENERAL KNOWLEDGE,$400,Geranium is a plant; Germanium is one of these,Element
5498,2008-07-02,Double Jeopardy!,MAY THE FORCE BE WITH YOU,$2000,"A group of 150 male-male pairs, the Sacred Band was an elite fighting unit of this city of Oedipus",Thebes
5978,2010-09-15,Double Jeopardy!,IT'S NOT EASY BEING TWEEN,$400,Tweens can spend hours on this 140-character max website created by a 10-person startup called Obvious,Twitter
2974,1997-07-03,Double Jeopardy!,BRITISH AUTHORS,$1000,"Like ""Rebecca"", her novel ""My Cousin Rachel"" was made into a film",Daphne du Maurier
5363,2007-12-26,Double Jeopardy!,THEATRE AROUND THE WORLD,$800,"He directed a landmark Chinese production of his play ""Death of a Salesman"" at the People's Art Theatre in Beijing",Arthur Miller
6129,2011-04-14,Double Jeopardy!,THE BORGIAS,$1200,"The policies of <a href=""http://www.j-archive.com/media/2011-04-14_DJ_28.wmv"">this</a> conniving Borgia son were so ruthless that Machiavelli cited him as an example of the new prince",Cesare
6020,2010-11-12,Double Jeopardy!,CONTINENTAL SETTINGS,$2000,"""The Quiet American""",Asia
3113,1998-02-25,Jeopardy!,AT THE BUILDING SITE,$500,"A teacher could handle this, the moving of earth to form a smooth surface for a roadway",a grader
3106,1998-02-16,Double Jeopardy!,HISTORY,$600,Pocahontas was married to this man for just 3 years before her death in 1617,John Rolfe
5042,2006-07-11,Jeopardy!,MARTIAL ARTS,$1000,"This Japanese art translated as ""way of harmony of the spirit"" uses opponents' energy against them",aikido
3907,2001-09-04,Double Jeopardy!,WON THE BATTLE,$1000,"With 1/3 the troops of his enemy, this American general beat Santa Anna in the 1847 Battle of Buena Vista",(Zachary) Taylor
5169,2007-02-15,Jeopardy!,POP MUSIC,$800,"This group's over-the-top video for ""I Write Sins Not Tragedies"" won Video of the Year at the 2006 MTV VMAs",Panic! at the Disco
3777,2001-01-23,Double Jeopardy!,'70s SITCOMS,$1000,"First name shared by Raj & Rerun's buddy & Ann Romano's superintendent, Schneider",Dwayne
3769,2001-01-11,Double Jeopardy!,MACHO MAN,$1000,"At the 2000 Republican Convention, this wrestler's role was to introduce House Speaker Dennis Hastert",The Rock
5271,2007-07-09,Double Jeopardy!,AIR APPARENT,$1200,Most air pollution comes from burning these alliterative combustibles that consist of organic remains,fossil fuels
3129,1998-03-19,Double Jeopardy!,CHARACTERS IN MUSICALS,$800,"Cunegonde, Dr. Pangloss, Voltaire",Candide
5878,2010-03-17,Double Jeopardy!,"""LA"" STORY",$2000,Creepy Bram Stoker novel about a big pale snake,Lair of the White Worm
5491,2008-06-23,Double Jeopardy!,COUNTRIES WITHOUT THEIR VOWELS,$1600,TNS,Tunisia
4344,2003-06-19,Double Jeopardy!,4-LETTER FILMS,$800,Lesley Ann Warren played Miss Scarlet & Christopher Lloyd was Prof. Plum in this 1985 spoof,Clue
3737,2000-11-28,Double Jeopardy!,THE MIDDLE AGES,$1000,Prussia was Christianized in the 13th century by knights of this order,Teutonic Knights
4785,2005-05-27,Double Jeopardy!,PALINDROMIC WORDS,$400,"If others are unaware of your merits, it might be time to do this to your own horn",toot
4901,2005-12-26,Jeopardy!,OJ (ORANGE JUICE) THESAURUS,$400,"This synonym for ""unadulterated"" or ""chaste"" is a big part of orange juice marketing",pure
4269,2003-03-06,Jeopardy!,ROCK NICKNAMES,$400,"""The Cute Beatle""",Paul McCartney
3073,1997-12-31,Jeopardy!,"""V""OCABULARY",$100,"For the record, it's what old phonograph records are made of",Vinyl
2909,1997-04-03,Jeopardy!,DANCE,$200,The czardas is the national dance of this country & Liszt used it as a basis for his rhapsodies,Hungary
2619,1996-01-11,Jeopardy!,HODGEPODGE,$200,Kellogg introduced these toaster pastries in 1964,Pop-Tarts
3737,2000-11-28,Jeopardy!,THE MIDDLE-AGED,$500,"Along with cholesterol, watch your level of this substance partly named for its 3 molecules of fatty acids",Triglycerides
1932,1993-01-19,Jeopardy!,ANIMALS IN LITERATURE,$300,"In ""The Sign of Four"" this sleuth employs Toby the dog to track 2 fugitives",Sherlock Holmes
3201,1998-06-29,Double Jeopardy!,HONORARY OSCARS,$600,This 1973 honoree joined the Oscar club even though it would have him as a member,Groucho Marx
5831,2010-01-11,Double Jeopardy!,FACTS & FIGURES,$800,Since 1970 the number of U.S. men aged 25-34 still living here has increased from 10% to 15%,at home
6013,2010-11-03,Jeopardy!,"""TEE"" TIME",$800,It's a person who holds the title to a property for the benefit of another person,a trustee
3001,1997-09-22,Double Jeopardy!,AUTHORS,$400,"He wrote his 1982 novel ""The Running Man"" under the pseudonym Richard Bachman",Stephen King
2899,1997-03-20,Double Jeopardy!,VICE PRESIDENTIAL CANDIDATES,"$1,300",In 1972 this man replaced Thomas Eagleton as George McGovern's running mate,Sargent Shriver
4979,2006-04-13,Jeopardy!,"AN OCCUPATION, OR...",$1000,"The work of Kim Philby & ""Harriet"", or to catch sight of suddenly",spy
5243,2007-05-30,Double Jeopardy!,EARLY AMERICA,$800,"In defending British soldiers on trial for this 1770 event, John Adams said, ""Facts are stubborn things""",the Boston Massacre
1887,1992-11-17,Jeopardy!,HISTORY,$300,"As a child, Roman emperor Gaius Julius Caesar Germanicus was nicknamed this, meaning ""little boot""",Caligula
4994,2006-05-04,Jeopardy!,MYTHOLOGY & ART,$800,The Farnese statue of this mythic hero leaning on his club was found in the Baths of Caracalla,Hercules
2885,1997-02-28,Final Jeopardy!,FLAGS,None,This saint's cross appears on the provincial flag of Nova Scotia,St. Andrew
4562,2004-06-08,Jeopardy!,TV-PODGE,$600,Mel Blanc supplied the voice of Cosmo Spacely when this cartoon debuted in prime time in 1962,The Jetsons
4644,2004-11-11,Double Jeopardy!,COMPUTER JARGON,$2000,"""VoIP"" means this type of ""Internet protocol"" to make phone calls over the web",voice
6252,2011-11-22,Jeopardy!,OLD TESTAMENT WOMEN,$400,Hadassah was the Hebrew name of this queen for whom an Old Testament book is named,Esther
2627,1996-01-23,Jeopardy!,SIGNS & SYMBOLS,$200,The C that represents this number in Roman numerals may stand for centum,100
6184,2011-06-30,Jeopardy!,MAMMALS,$400,"You could say this Arctic mammal, Odobenus rosmarus, has a Wilford Brimley mustache",the walrus
963,1988-11-09,Jeopardy!,MOVIE TRIVIA,$400,"Though he was best known for directing musicals, the last film he directed was a drama, ""Star 80""",Bob Fosse
4860,2005-10-28,Double Jeopardy!,20th CENTURY LITERATURE,$400,"This 1949 novel features a society dominated by such slogans as ""War is peace, freedom is slavery, ignorance is strength""",1984
1250,1990-01-26,Jeopardy!,PEOPLE,$200,"In 1975 Mr. Blackwell called this ""Cuchi Cuchi"" girl ""Carmen Miranda with cleavage""",Charo
4183,2002-11-06,Double Jeopardy!,NORSE MYTHOLOGY,$1200,"A never-ending supply of this better-than-beer drink was made by Heidrum, oddly a goat, not a bee",mead
5257,2007-06-19,Jeopardy!,LITERARY MOUNTAINS,$600,"In a Hemingway tale, Harry gets gangrene; before he dies, has a vision of flying in a plane toward this mountain",Kilimanjaro
4872,2005-11-15,Jeopardy!,STEP INTO THE STUDY,$200,"Myology is the study of these, like biceps",muscles
4083,2002-05-08,Double Jeopardy!,TOUGH GEOGRAPHY,$1200,"This Argentine region's name is Spanish for ""big feet"", perhaps because Spaniards saw Indians who wore large boots",Patagonia
3849,2001-05-03,Double Jeopardy!,"""OFF""ERINGS",$600,"Differing from the usual or expected, or a description of bad drumming",offbeat
68,1984-12-12,Jeopardy!,INVENTIONS,$300,1899 device for attaching papers that can ruin a computer disc when magnetized,a paper clip
3641,2000-06-05,Double Jeopardy!,_____&____,$400,This phrase comes from birds rubbing their beaks together & making amorous noises,Bill & coo
3563,2000-02-16,Jeopardy!,RADIO WAVES,$300,This word dating back to the 1940s refers to a program aired at the same time on radio & TV,Simulcast
4768,2005-05-04,Jeopardy!,ATTILA THE HUN,$400,"In 341 Attila conquered, then abandoned, this town in Gaul where 961 years later a certain ""maid"" was born",Orléans
3576,2000-03-06,Jeopardy!,HORROR MOVIE VILLAINS,$300,"""Friday the 13th"" parts 2 through 9",Jason
5748,2009-09-16,Double Jeopardy!,"T""OIL""",$400,A cheap novel written quickly just to make money,a potboiler
5967,2010-07-20,Jeopardy!,"HELLO, DOLL-Y",$600,"Mattel has announced 2 new ""I Can Be..."" dolls of her: news anchor & computer engineer",Barbie
2885,1997-02-28,Jeopardy!,U.S. GEOGRAPHY,$500,It's the oldest city in Kansas; a federal penitentiary lies within the city limits,Leavenworth
4619,2004-10-07,Jeopardy!,POLL VAULT,$200,A 1951 survey of the U.S. Armed Forces found this milk & grain concoction their least favorite dessert,rice pudding
5362,2007-12-25,Double Jeopardy!,KEVIN-SENT,$1600,"In one film he said Lee Harvey Oswald acted alone; in another, he played a lawyer determined to prove the opposite",Kevin Costner
4633,2004-10-27,Jeopardy!,"""J"" WALKING",$200,In medieval times this country was known as Cipango,Japan
5990,2010-10-01,Double Jeopardy!,BRANDS WE LOST,$1600,Bristol-Meyers Squibb discontinued its Nuprin brand of this,pain reliever
4227,2003-01-07,Jeopardy!,ENGLISH CLASS,$400,"This part of speech doesn't always end in ""ly""; once, there & often are other examples",adverb
4622,2004-10-12,Double Jeopardy!,COMEDY CENTRAL,$400,Adjective meaning completely expressionless used to describe Jackie Vernon’s or Steven Wright’s comic style,deadpan
3058,1997-12-10,Jeopardy!,HOODS,$300,"According to his TV theme, he's ""feared by the bad, loved by the good""",Robin Hood
3458,1999-09-22,Double Jeopardy!,CONNERY...SEAN CONNERY,$400,It was Sean's first James Bond film,Dr. No
3214,1998-07-16,Jeopardy!,20th CENTURY INVENTION,$500,They were invented in 1947 & by the 1990s millions were being placed on a single chip,Transistors
4807,2005-06-28,Jeopardy!,"""X"" RATED",$600,William B. Davis played the mysterious Cigarette-Smoking Man on this Fox show,The X-Files
5334,2007-11-15,Jeopardy!,FINANCE,$800,"It's often set up by the wealthy for their kids, but California has a state children's one for poor folks",a trust fund
4707,2005-02-08,Jeopardy!,TEEN PEOPLE,$1000,"Following Nelly, Chingy is the latest big star out of this city's rap scene",St. Louis
5729,2009-07-02,Jeopardy!,MEDICAL PREFIXES & SUFFIXES,$200,"Following lump- & tonsil(l)-, it denotes a surgical removal",-ectomy
3263,1998-11-11,Jeopardy!,SEPTEMBER 1984,$400,He celebrated his 15th year in power in Libya September 1,Muammar Qadhafi
5576,2008-12-01,Double Jeopardy!,SHAKESPEARE,$1200,"In this play Guildenstern says, ""O, there has been much throwing about of brains""",Hamlet
6149,2011-05-12,Double Jeopardy!,BROKEN ENGLISH,$1200,"It can precede bean, fastener or dragon",snap
2752,1996-07-16,Jeopardy!,EUROPEAN HISTORY,$400,"Except for a brief time, this birthplace of Christopher Columbus was ruled by a doge from 1339-1797",Genoa
4241,2003-01-27,Double Jeopardy!,GOLF TALK,"$1,500",(Peter Jacobsen gives the clue)  Douglas MacArthur would know this term for an intentional slice,fade
3932,2001-10-09,Double Jeopardy!,FACTS ON FILE,$400,(Cheryl of the Clue Crew reports from the Santa Monica Pier)  These planes named after their wing configurations were flown by the Wright Bros. but disappeared after World War II,biplanes
5673,2009-04-15,Final Jeopardy!,EXPLORERS,None,"In 1611 Henry Greene led a successful mutiny against this captain, but soon after was killed by Eskimos",Henry Hudson
3395,1999-05-14,Double Jeopardy!,SOUTHERN CALIFORNIA,$1000,"Dana Point is named for Richard Henry Dana, best known for this ""timely"" memoir about sailing to California & back","""Two Years Before the Mast"""
4853,2005-10-19,Double Jeopardy!,OCCUPATIONAL TV,$1600,Jim Anderson was an agent at the General Insurance Company on this sitcom,Father Knows Best
5178,2007-02-28,Jeopardy!,DAVID,$1000,David is anointed king in the second book of this prophet,Samuel
2038,1993-06-16,Double Jeopardy!,U.S. GOVERNMENT,$200,"After 182 years, the Post Office Department ceased to exist in 1971 & was replaced by this agency",The US Postal Service
1250,1990-01-26,Jeopardy!,"""G"" WHIZ",$400,"Figuratively speaking, to prepare for action you do this to your loins",gird
2128,1993-12-01,Jeopardy!,PHOTOGRAPHERS,$200,"in 1980, Jimmy Carter awarded this landscape photographer the Presidential Medal of Freedom",Ansel Adams
3002,1997-09-23,Jeopardy!,CHER FILMS,$200,This film featured Cher as Meryl Streep's gal pal & co-worker at a nuclear plant,Silkwood
6067,2011-01-18,Jeopardy!,BURGER JOINTS,$200,"Hamburger University, this chain's training center, opened in 1961 in Elk Grove Village, Illinois",McDonald's
4795,2005-06-10,Jeopardy!,"10-, 11- & 12-LETTER WORDS",$200,"Travel to Springfield, Mass. & you can make a fast break for the Naismith Hall of Fame for this sport",basketball
3921,2001-09-24,Jeopardy!,THE AGE OF AQUARIUMS,$400,"Seen <a href=""http://www.j-archive.com/media/2001-09-24_J_29.jpg"" target=""_blank"">here</a>, the beluga type of this mammal is one of the main attractions at Chicago's Shedd Aquarium",a whale
4236,2003-01-20,Jeopardy!,WATERFOWL,$600,Most domestic ducks descend from this wild species in which the male has a glossy green head & white neck ring,mallard
3153,1998-04-22,Double Jeopardy!,"TAKE ""TEN""",$800,Notable Nepalese Norgay,Tenzing Norgay
1651,1991-11-04,Double Jeopardy!,U.S . GOVERNMENT,$200,Life forms created in the laboratory can be registered with this Commerce Department office,Patent Office
4561,2004-06-07,Jeopardy!,I DID IT!,$200,Florence Chadwick was the first woman to swim this in both directions; Gertrude Ederle swam it one way,the English Channel
4617,2004-10-05,Double Jeopardy!,"DO YA THINK I'M ""SEX""Y?",$400,This 6-letter term means designed for both men & women,unisex
5755,2009-09-25,Jeopardy!,"""CENTER"" FIELD",$200,"It's where you might find Johnny Gilbert in the next issue of ""Playgirl""",the centerfold
3840,2001-04-20,Double Jeopardy!,THE KNIGHTS TEMPLAR,$600,"By arresting them all & seizing their property in 1307, this country's Philip IV began the suppression of the Templars",France
3897,2001-07-10,Double Jeopardy!,OPERA,$400,"In 1829, after his move to Paris, this Italian composer wrote ""William Tell""",Gioachino Rossini
3794,2001-02-15,Jeopardy!,GEMS & JEWELRY,$100,"This world-famous blue gem is named for one of its former owners, Henry Philip Hope",Hope Diamond
2911,1997-04-07,Jeopardy!,STATE BIRDS,$100,This red-breasted state bird of Connecticut lays 3 to 6 blue eggs 2 or 3 times a year,the robin
3673,2000-07-19,Double Jeopardy!,ANGELS,$200,In 1996 John Travolta spread his wings as this archangel,Michael
3970,2001-11-30,Double Jeopardy!,PHILOSOPHERS,$2000,"Jacques Lacan revised this philosopher's idea as ""Where I think, 'I think, therefore I a",Rene Descartes
3561,2000-02-14,Jeopardy!,ENTERTAINING CATS,$300,This colorful big cat has been bopping to a Henry Mancini theme since 1963,The Pink Panther
3698,2000-10-04,Double Jeopardy!,RHYME TIME,$800,A map of your blood-pumping organ,heart chart
3057,1997-12-09,Double Jeopardy!,ACTORS & THEIR ROLES,$1000,In 1997 Johnny Depp went undercover to infiltrate the Mafia in this film based on a true story,Donnie Brasco
4661,2004-12-06,Jeopardy!,THE WAR BETWEEN THE STATES,$600,"This ""Ben-Hur"" author was removed from command and reinstated twice",Lew Wallace
4745,2005-04-01,Double Jeopardy!,SOUTHERN CALIFORNIA ARCHITECTURE,$400,"The Jet Age Building seen <a href=""http://www.j-archive.com/media/2005-04-01_DJ_16.jpg"" target=""_blank"">here</a> is the hub for this transportation complex",LAX
5138,2007-01-03,Double Jeopardy!,WHO'S YOUR DADDY?,$1200,Angelina Jolie,Jon Voight
3117,1998-03-03,Jeopardy!,OUR WRITERS' FAVORITE COMIC BOOKS,$100,Both of these female friends of Archie Andrews have their own comics & share a third,Betty & Veronica
5400,2008-02-15,Jeopardy!,VWLLSS FLWRS,$400,PTN,petunia
5529,2008-09-25,Double Jeopardy!,THE 20th CENTURY,$2000,"In May 1966 this small South American country became independent, with Forbes Burnham as its first P.M.",Guyana
4580,2004-07-02,Double Jeopardy!,"""SUMMER"" FUN",$400,"After Stockholm hosted these in 1912, Sweden's Hugo Wieslander was awarded a disputed gold in the decathlon",the Summer Olympics
6185,2011-07-01,Jeopardy!,AD SLOGANS,$1000,"""It only does everything""",Sony Playstation
